"ID","Gender","Age","Income","SpendingScore","Profession","Experience","FamilySize","normalized_Age","normalized_Income","normalized_SpendingScore","normalized_FamilySize","labels_kmeansmodel","Cluster_Kmeans_label_name"
20,"Female",35,62000,98,"Artist",0,1,-0.922212713573247,-1.01618514303581,1.71935744754515,-1.4102156609056,4,"Valuable - Young, 'Poor'"
21,"Male",35,96000,35,"Homemaker",12,1,-0.922212713573247,-0.280184800259937,-0.552594240827495,-1.4102156609056,9,"Least valuable"
22,"Male",25,4000,73,"Healthcare",3,4,-1.34080714217893,-2.27171513953583,0.817789317238546,0.126191734516047,4,"Valuable - Young, 'Poor'"
23,"Female",46,42000,5,"Artist",13,2,-0.461758842106992,-1.44912652113927,-1.63447599719542,-0.89807986243172,9,"Least valuable"
24,"Male",31,71000,73,"Artist",5,2,-1.08965048501552,-0.821361522889256,0.817789317238546,-0.89807986243172,4,"Valuable - Young, 'Poor'"
25,"Female",54,67000,14,"Executive",1,3,-0.126883299222443,-0.907949798509947,-1.30991147028504,-0.385944063957837,9,"Least valuable"
26,"Male",29,52000,82,"Artist",1,3,-1.17336937073666,-1.23265583208754,1.14235384414892,-0.385944063957837,4,"Valuable - Young, 'Poor'"
27,"Female",45,68000,32,"Healthcare",9,8,-0.503618284967561,-0.886302729604774,-0.660782416464287,2.17473492841158,8,"Less valuable - Young"
28,"Male",35,78000,61,"Artist",1,3,-0.922212713573247,-0.669832040553046,0.385036614691375,-0.385944063957837,4,"Valuable - Young, 'Poor'"
29,"Female",40,18000,31,"Artist",0,1,-0.712915499270404,-1.96865617486341,-0.696845141676551,-1.4102156609056,9,"Least valuable"
30,"Female",23,20000,87,"Artist",5,4,-1.42452602790007,-1.92536203705307,1.32266747021024,0.126191734516047,4,"Valuable - Young, 'Poor'"
31,"Male",60,39000,4,"Artist",0,3,0.124273357940969,-1.51406772785478,-1.67053872240769,-0.385944063957837,9,"Least valuable"
32,"Female",21,34000,73,"Doctor",1,2,-1.50824491362121,-1.62230307238065,0.817789317238546,-0.89807986243172,4,"Valuable - Young, 'Poor'"
33,"Male",53,59000,4,"Healthcare",1,3,-0.168742742083012,-1.08112634975133,-1.67053872240769,-0.385944063957837,9,"Least valuable"
34,"Male",18,62000,92,"Homemaker",9,7,-1.63382324220291,-1.01618514303581,1.50298109627157,1.6625991299377,4,"Valuable - Young, 'Poor'"
35,"Female",49,91000,14,"Lawyer",1,2,-0.336180513525286,-0.388420144785801,-1.30991147028504,-0.89807986243172,9,"Least valuable"
36,"Female",21,95000,81,"Healthcare",3,4,-1.50824491362121,-0.30183186916511,1.10629111893666,0.126191734516047,4,"Valuable - Young, 'Poor'"
37,"Female",42,14000,17,"Doctor",5,1,-0.629196613549266,-2.0552444504841,-1.20172329464825,-1.4102156609056,9,"Least valuable"
38,"Female",30,62000,73,"Healthcare",1,5,-1.13150992787609,-1.01618514303581,0.817789317238546,0.638327532989931,4,"Valuable - Young, 'Poor'"
39,"Female",36,9000,26,"Artist",8,2,-0.880353270712678,-2.16347979500997,-0.877158767737872,-0.89807986243172,9,"Least valuable"
40,"Female",20,69000,75,"Artist",8,2,-1.55010435648178,-0.864655660699601,0.889914767663074,-0.89807986243172,4,"Valuable - Young, 'Poor'"
41,"Female",65,25000,35,"Artist",4,1,0.333570572243812,-1.8171266925272,-0.552594240827495,-1.4102156609056,9,"Least valuable"
42,"Male",24,85000,92,"Healthcare",0,2,-1.3826665850395,-0.518302558216837,1.50298109627157,-0.89807986243172,4,"Valuable - Young, 'Poor'"
43,"Male",48,22000,36,"Artist",14,3,-0.378039956385855,-1.88206789924272,-0.51653151561523,-0.385944063957837,9,"Least valuable"
44,"Female",31,33000,61,"Artist",1,2,-1.08965048501552,-1.64395014128582,0.385036614691375,-0.89807986243172,9,"Least valuable"
45,"Female",49,72000,28,"Engineer",8,1,-0.336180513525286,-0.799714453984083,-0.805033317313344,-1.4102156609056,9,"Least valuable"
46,"Female",24,3000,65,"Lawyer",4,2,-1.3826665850395,-2.293362208441,0.529287515540432,-0.89807986243172,9,"Least valuable"
47,"Female",50,52000,55,"Artist",0,4,-0.294321070664718,-1.23265583208754,0.16866026341779,0.126191734516047,9,"Least valuable"
48,"Female",27,71000,47,"Healthcare",12,1,-1.2570882564578,-0.821361522889256,-0.119841538280324,-1.4102156609056,9,"Least valuable"
49,"Female",29,78000,42,"Healthcare",0,4,-1.17336937073666,-0.669832040553046,-0.300155164341645,0.126191734516047,9,"Least valuable"
50,"Female",31,25000,42,"Engineer",1,1,-1.08965048501552,-1.8171266925272,-0.300155164341645,-1.4102156609056,9,"Least valuable"
51,"Female",49,88000,52,"Artist",1,2,-0.336180513525286,-0.453361351501319,0.0604720877809971,-0.89807986243172,9,"Least valuable"
52,"Male",33,97000,60,"Artist",1,2,-1.00593159929438,-0.258537731354764,0.348973889479111,-0.89807986243172,4,"Valuable - Young, 'Poor'"
53,"Female",31,74000,54,"Artist",1,1,-1.08965048501552,-0.756420316173738,0.132597538205526,-1.4102156609056,9,"Least valuable"
54,"Male",59,68000,60,"Entertainment",0,2,0.0824139150804,-0.886302729604774,0.348973889479111,-0.89807986243172,4,"Valuable - Young, 'Poor'"
55,"Female",50,18000,45,"Marketing",1,1,-0.294321070664718,-1.96865617486341,-0.191966988704852,-1.4102156609056,9,"Least valuable"
56,"Male",47,95000,41,"Artist",14,2,-0.419899399246423,-0.30183186916511,-0.336217889553909,-0.89807986243172,9,"Least valuable"
57,"Female",51,71000,50,"Healthcare",9,4,-0.252461627804149,-0.821361522889256,-0.0116533626435313,0.126191734516047,9,"Least valuable"
58,"Male",69,8000,46,"Doctor",8,2,0.501008343686086,-2.18512686391514,-0.155904263492588,-0.89807986243172,5,"Less valuable - Old"
59,"Female",27,57000,51,"Artist",1,3,-1.2570882564578,-1.12442048756167,0.0244093625687329,-0.385944063957837,9,"Least valuable"
60,"Male",53,89000,46,"Lawyer",1,6,-0.168742742083012,-0.431714282596146,-0.155904263492588,1.15046333146381,8,"Less valuable - Young"
61,"Male",70,84000,56,"Artist",0,2,0.542867786546655,-0.53994962712201,0.204722988630054,-0.89807986243172,5,"Less valuable - Old"
62,"Male",19,50000,55,"Artist",9,2,-1.59196379934234,-1.27594996989788,0.16866026341779,-0.89807986243172,9,"Least valuable"
63,"Female",67,50000,52,"Lawyer",0,3,0.417289457964949,-1.27594996989788,0.0604720877809971,-0.385944063957837,5,"Less valuable - Old"
64,"Female",54,48000,59,"Lawyer",1,2,-0.126883299222443,-1.31924410770823,0.312911164266847,-0.89807986243172,9,"Least valuable"
65,"Male",63,63000,51,"Lawyer",7,2,0.249851686522674,-0.994538074130638,0.0244093625687329,-0.89807986243172,5,"Less valuable - Old"
66,"Male",18,9000,59,"Entertainment",0,2,-1.63382324220291,-2.16347979500997,0.312911164266847,-0.89807986243172,9,"Least valuable"
67,"Female",43,3000,50,"Doctor",0,2,-0.587337170688698,-2.293362208441,-0.0116533626435313,-0.89807986243172,9,"Least valuable"
68,"Female",68,82000,48,"Artist",8,4,0.459148900825518,-0.583243764932356,-0.0837788130680598,0.126191734516047,5,"Less valuable - Old"
69,"Male",19,81000,59,"Artist",0,4,-1.59196379934234,-0.604890833837528,0.312911164266847,0.126191734516047,4,"Valuable - Young, 'Poor'"
70,"Female",32,97000,47,"Homemaker",2,2,-1.04779104215495,-0.258537731354764,-0.119841538280324,-0.89807986243172,9,"Least valuable"
71,"Male",70,91000,55,"Healthcare",8,2,0.542867786546655,-0.388420144785801,0.16866026341779,-0.89807986243172,5,"Less valuable - Old"
72,"Female",47,9000,42,"Entertainment",8,2,-0.419899399246423,-2.16347979500997,-0.300155164341645,-0.89807986243172,9,"Least valuable"
73,"Female",60,44000,49,"Artist",0,5,0.124273357940969,-1.40583238332892,-0.0477160878557955,0.638327532989931,8,"Less valuable - Young"
74,"Female",60,10000,56,"Healthcare",8,4,0.124273357940969,-2.14183272610479,0.204722988630054,0.126191734516047,9,"Least valuable"
75,"Male",59,89000,47,"Artist",0,4,0.0824139150804,-0.431714282596146,-0.119841538280324,0.126191734516047,5,"Less valuable - Old"
76,"Male",26,49000,54,"Homemaker",0,3,-1.29894769931836,-1.29759703880306,0.132597538205526,-0.385944063957837,9,"Least valuable"
77,"Female",45,67000,53,"Doctor",0,2,-0.503618284967561,-0.907949798509947,0.0965348129932613,-0.89807986243172,9,"Least valuable"
78,"Male",40,99000,48,"Artist",4,3,-0.712915499270404,-0.215243593544419,-0.0837788130680598,-0.385944063957837,9,"Least valuable"
79,"Female",23,97000,52,"Engineer",2,2,-1.42452602790007,-0.258537731354764,0.0604720877809971,-0.89807986243172,4,"Valuable - Young, 'Poor'"
80,"Female",49,98000,42,"Unknown",1,1,-0.336180513525286,-0.236890662449592,-0.300155164341645,-1.4102156609056,9,"Least valuable"
81,"Male",57,52000,51,"Healthcare",0,4,-0.00130497064073725,-1.23265583208754,0.0244093625687329,0.126191734516047,9,"Least valuable"
82,"Male",38,61000,55,"Healthcare",6,3,-0.796634384991541,-1.03783221194098,0.16866026341779,-0.385944063957837,9,"Least valuable"
83,"Male",67,120000,41,"Artist",8,1,0.417289457964949,0.239344853464209,-0.336217889553909,-1.4102156609056,5,"Less valuable - Old"
84,"Female",46,34000,44,"Entertainment",8,4,-0.461758842106992,-1.62230307238065,-0.228029713917117,0.126191734516047,9,"Least valuable"
85,"Female",21,24000,57,"Marketing",1,3,-1.50824491362121,-1.83877376143237,0.240785713842318,-0.385944063957837,9,"Least valuable"
86,"Male",48,31000,46,"Healthcare",7,5,-0.378039956385855,-1.68724427909617,-0.155904263492588,0.638327532989931,8,"Less valuable - Young"
87,"Female",55,11000,58,"Artist",0,3,-0.0850238563618745,-2.12018565719962,0.276848439054582,-0.385944063957837,9,"Least valuable"
88,"Female",22,55000,55,"Artist",5,2,-1.46638547076064,-1.16771462537202,0.16866026341779,-0.89807986243172,9,"Least valuable"
89,"Female",34,76000,60,"Entertainment",7,3,-0.964072156433815,-0.713126178363392,0.348973889479111,-0.385944063957837,4,"Valuable - Young, 'Poor'"
90,"Female",50,56000,46,"Doctor",0,2,-0.294321070664718,-1.14606755646685,-0.155904263492588,-0.89807986243172,9,"Least valuable"
91,"Female",68,46000,55,"Entertainment",0,3,0.459148900825518,-1.36253824551857,0.16866026341779,-0.385944063957837,5,"Less valuable - Old"
92,"Male",18,36000,41,"Artist",1,4,-1.63382324220291,-1.5790089345703,-0.336217889553909,0.126191734516047,9,"Least valuable"
93,"Male",48,88000,49,"Artist",1,2,-0.378039956385855,-0.453361351501319,-0.0477160878557955,-0.89807986243172,9,"Least valuable"
94,"Female",40,31000,40,"Entertainment",1,2,-0.712915499270404,-1.68724427909617,-0.372280614766174,-0.89807986243172,9,"Least valuable"
95,"Female",32,24000,42,"Artist",0,1,-1.04779104215495,-1.83877376143237,-0.300155164341645,-1.4102156609056,9,"Least valuable"
96,"Male",24,80000,52,"Artist",10,1,-1.3826665850395,-0.626537902742701,0.0604720877809971,-1.4102156609056,9,"Least valuable"
97,"Female",47,2000,47,"Artist",0,1,-0.419899399246423,-2.31500927734618,-0.119841538280324,-1.4102156609056,9,"Least valuable"
98,"Female",27,67000,50,"Artist",0,2,-1.2570882564578,-0.907949798509947,-0.0116533626435313,-0.89807986243172,9,"Least valuable"
99,"Male",48,58000,42,"Doctor",1,2,-0.378039956385855,-1.1027734186565,-0.300155164341645,-0.89807986243172,9,"Least valuable"
100,"Male",20,80000,49,"Engineer",3,3,-1.55010435648178,-0.626537902742701,-0.0477160878557955,-0.385944063957837,9,"Least valuable"
101,"Female",23,65000,41,"Artist",0,4,-1.42452602790007,-0.951243936320292,-0.336217889553909,0.126191734516047,9,"Least valuable"
102,"Female",49,4000,48,"Executive",1,7,-0.336180513525286,-2.27171513953583,-0.0837788130680598,1.6625991299377,8,"Less valuable - Young"
103,"Male",67,98000,59,"Artist",0,3,0.417289457964949,-0.236890662449592,0.312911164266847,-0.385944063957837,5,"Less valuable - Old"
104,"Male",26,52000,55,"Executive",0,5,-1.29894769931836,-1.23265583208754,0.16866026341779,0.638327532989931,8,"Less valuable - Young"
105,"Male",49,86000,56,"Healthcare",10,2,-0.336180513525286,-0.496655489311665,0.204722988630054,-0.89807986243172,4,"Valuable - Young, 'Poor'"
106,"Female",21,82000,42,"Doctor",1,2,-1.50824491362121,-0.583243764932356,-0.300155164341645,-0.89807986243172,9,"Least valuable"
107,"Female",66,43000,50,"Homemaker",3,2,0.37543001510438,-1.42747945223409,-0.0116533626435313,-0.89807986243172,5,"Less valuable - Old"
108,"Male",54,78000,46,"Lawyer",1,1,-0.126883299222443,-0.669832040553046,-0.155904263492588,-1.4102156609056,9,"Least valuable"
109,"Male",68,13000,43,"Healthcare",6,5,0.459148900825518,-2.07689151938928,-0.264092439129381,0.638327532989931,5,"Less valuable - Old"
110,"Male",66,13000,48,"Healthcare",9,3,0.37543001510438,-2.07689151938928,-0.0837788130680598,-0.385944063957837,5,"Less valuable - Old"
111,"Male",65,34000,52,"Entertainment",4,4,0.333570572243812,-1.62230307238065,0.0604720877809971,0.126191734516047,5,"Less valuable - Old"
112,"Female",19,25000,54,"Artist",0,1,-1.59196379934234,-1.8171266925272,0.132597538205526,-1.4102156609056,9,"Least valuable"
113,"Female",38,71000,42,"Doctor",1,5,-0.796634384991541,-0.821361522889256,-0.300155164341645,0.638327532989931,8,"Less valuable - Young"
114,"Male",19,2000,46,"Artist",1,1,-1.59196379934234,-2.31500927734618,-0.155904263492588,-1.4102156609056,9,"Least valuable"
115,"Female",18,97000,48,"Executive",0,3,-1.63382324220291,-0.258537731354764,-0.0837788130680598,-0.385944063957837,9,"Least valuable"
116,"Female",19,51000,50,"Executive",8,4,-1.59196379934234,-1.25430290099271,-0.0116533626435313,0.126191734516047,9,"Least valuable"
117,"Female",63,9000,43,"Lawyer",1,1,0.249851686522674,-2.16347979500997,-0.264092439129381,-1.4102156609056,9,"Least valuable"
118,"Female",49,79000,59,"Artist",0,2,-0.336180513525286,-0.648184971647874,0.312911164266847,-0.89807986243172,4,"Valuable - Young, 'Poor'"
119,"Female",51,84000,43,"Unknown",2,7,-0.252461627804149,-0.53994962712201,-0.264092439129381,1.6625991299377,8,"Less valuable - Young"
120,"Female",50,87000,57,"Artist",1,2,-0.294321070664718,-0.475008420406492,0.240785713842318,-0.89807986243172,4,"Valuable - Young, 'Poor'"
121,"Male",27,36000,56,"Executive",0,3,-1.2570882564578,-1.5790089345703,0.204722988630054,-0.385944063957837,9,"Least valuable"
122,"Female",38,50000,40,"Executive",1,4,-0.796634384991541,-1.27594996989788,-0.372280614766174,0.126191734516047,9,"Least valuable"
123,"Female",40,97000,58,"Engineer",9,4,-0.712915499270404,-0.258537731354764,0.276848439054582,0.126191734516047,4,"Valuable - Young, 'Poor'"
124,"Male",39,6000,91,"Healthcare",1,3,-0.754774942130972,-2.22842100172548,1.4669183710593,-0.385944063957837,4,"Valuable - Young, 'Poor'"
125,"Female",23,12000,29,"Entertainment",9,2,-1.42452602790007,-2.09853858829445,-0.76897059210108,-0.89807986243172,9,"Least valuable"
126,"Female",31,46000,77,"Marketing",1,2,-1.08965048501552,-1.36253824551857,0.962040218087603,-0.89807986243172,4,"Valuable - Young, 'Poor'"
127,"Male",43,89000,35,"Engineer",0,7,-0.587337170688698,-0.431714282596146,-0.552594240827495,1.6625991299377,8,"Less valuable - Young"
128,"Male",40,4000,95,"Artist",0,2,-0.712915499270404,-2.27171513953583,1.61116927190836,-0.89807986243172,4,"Valuable - Young, 'Poor'"
129,"Male",59,38000,11,"Engineer",0,2,0.0824139150804,-1.53571479675996,-1.41809964592184,-0.89807986243172,9,"Least valuable"
130,"Male",38,64000,75,"Entertainment",8,5,-0.796634384991541,-0.972891005225465,0.889914767663074,0.638327532989931,4,"Valuable - Young, 'Poor'"
131,"Male",47,66000,9,"Executive",9,5,-0.419899399246423,-0.929596867415119,-1.49022509634636,0.638327532989931,8,"Less valuable - Young"
132,"Male",39,26000,75,"Lawyer",0,2,-0.754774942130972,-1.79547962362203,0.889914767663074,-0.89807986243172,4,"Valuable - Young, 'Poor'"
133,"Female",25,41000,34,"Healthcare",6,4,-1.34080714217893,-1.47077359004444,-0.588656966039759,0.126191734516047,9,"Least valuable"
134,"Female",31,45000,71,"Artist",5,1,-1.08965048501552,-1.38418531442375,0.745663866814017,-1.4102156609056,4,"Valuable - Young, 'Poor'"
135,"Male",20,89000,5,"Engineer",1,2,-1.55010435648178,-0.431714282596146,-1.63447599719542,-0.89807986243172,9,"Least valuable"
136,"Female",29,92000,88,"Executive",5,5,-1.17336937073666,-0.366773075880628,1.35873019542251,0.638327532989931,4,"Valuable - Young, 'Poor'"
137,"Female",44,76000,7,"Artist",5,2,-0.545477727828129,-0.713126178363392,-1.56235054677089,-0.89807986243172,9,"Least valuable"
138,"Male",32,85000,73,"Artist",3,4,-1.04779104215495,-0.518302558216837,0.817789317238546,0.126191734516047,4,"Valuable - Young, 'Poor'"
139,"Male",19,22000,10,"Marketing",8,4,-1.59196379934234,-1.88206789924272,-1.4541623711341,0.126191734516047,9,"Least valuable"
140,"Female",35,15000,72,"Artist",4,4,-0.922212713573247,-2.03359738157893,0.781726592026281,0.126191734516047,4,"Valuable - Young, 'Poor'"
141,"Female",57,32000,5,"Engineer",0,2,-0.00130497064073725,-1.66559721019099,-1.63447599719542,-0.89807986243172,9,"Least valuable"
142,"Male",32,66000,93,"Artist",0,5,-1.04779104215495,-0.929596867415119,1.53904382148383,0.638327532989931,4,"Valuable - Young, 'Poor'"
143,"Female",28,62000,40,"Doctor",5,3,-1.21522881359723,-1.01618514303581,-0.372280614766174,-0.385944063957837,9,"Least valuable"
144,"Female",32,85000,87,"Lawyer",1,2,-1.04779104215495,-0.518302558216837,1.32266747021024,-0.89807986243172,4,"Valuable - Young, 'Poor'"
145,"Male",25,71000,12,"Engineer",0,5,-1.34080714217893,-0.821361522889256,-1.38203692070957,0.638327532989931,8,"Less valuable - Young"
146,"Male",28,26000,97,"Marketing",8,5,-1.21522881359723,-1.79547962362203,1.68329472233289,0.638327532989931,4,"Valuable - Young, 'Poor'"
147,"Male",48,52000,36,"Engineer",9,2,-0.378039956385855,-1.23265583208754,-0.51653151561523,-0.89807986243172,9,"Least valuable"
148,"Female",32,38000,74,"Lawyer",1,1,-1.04779104215495,-1.53571479675996,0.85385204245081,-1.4102156609056,4,"Valuable - Young, 'Poor'"
149,"Female",34,51000,22,"Healthcare",7,4,-0.964072156433815,-1.25430290099271,-1.02140966858693,0.126191734516047,9,"Least valuable"
150,"Male",34,90000,90,"Artist",6,3,-0.964072156433815,-0.410067213690973,1.43085564584704,-0.385944063957837,4,"Valuable - Young, 'Poor'"
151,"Male",43,30000,17,"Lawyer",0,9,-0.587337170688698,-1.70889134800134,-1.20172329464825,2.68687072688547,8,"Less valuable - Young"
152,"Male",39,41000,88,"Engineer",0,1,-0.754774942130972,-1.47077359004444,1.35873019542251,-1.4102156609056,4,"Valuable - Young, 'Poor'"
153,"Female",44,17000,20,"Engineer",0,2,-0.545477727828129,-1.99030324376858,-1.09353511901146,-0.89807986243172,9,"Least valuable"
154,"Female",38,92000,76,"Artist",2,2,-0.796634384991541,-0.366773075880628,0.925977492875338,-0.89807986243172,4,"Valuable - Young, 'Poor'"
155,"Female",47,80000,16,"Healthcare",0,4,-0.419899399246423,-0.626537902742701,-1.23778601986051,0.126191734516047,8,"Less valuable - Young"
156,"Female",27,10000,89,"Marketing",8,4,-1.2570882564578,-2.14183272610479,1.39479292063477,0.126191734516047,4,"Valuable - Young, 'Poor'"
157,"Male",37,16000,1,"Executive",1,1,-0.83849382785211,-2.01195031267376,-1.77872689804448,-1.4102156609056,9,"Least valuable"
158,"Female",30,87000,78,"Artist",3,4,-1.13150992787609,-0.475008420406492,0.998102943299867,0.126191734516047,4,"Valuable - Young, 'Poor'"
159,"Male",34,66000,1,"Lawyer",1,2,-0.964072156433815,-0.929596867415119,-1.77872689804448,-0.89807986243172,9,"Least valuable"
160,"Female",30,86000,73,"Artist",3,3,-1.13150992787609,-0.496655489311665,0.817789317238546,-0.385944063957837,4,"Valuable - Young, 'Poor'"
161,"Female",56,9000,35,"Artist",1,1,-0.0431644135013059,-2.16347979500997,-0.552594240827495,-1.4102156609056,9,"Least valuable"
162,"Female",29,50000,83,"Healthcare",1,5,-1.17336937073666,-1.27594996989788,1.17841656936119,0.638327532989931,4,"Valuable - Young, 'Poor'"
163,"Male",19,35000,5,"Executive",0,5,-1.59196379934234,-1.60065600347547,-1.63447599719542,0.638327532989931,8,"Less valuable - Young"
164,"Female",31,58000,93,"Healthcare",1,5,-1.08965048501552,-1.1027734186565,1.53904382148383,0.638327532989931,4,"Valuable - Young, 'Poor'"
165,"Male",50,47000,26,"Doctor",0,2,-0.294321070664718,-1.3408911766134,-0.877158767737872,-0.89807986243172,9,"Least valuable"
166,"Female",36,54000,75,"Artist",5,3,-0.880353270712678,-1.18936169427719,0.889914767663074,-0.385944063957837,4,"Valuable - Young, 'Poor'"
167,"Male",42,79000,20,"Homemaker",9,3,-0.629196613549266,-0.648184971647874,-1.09353511901146,-0.385944063957837,9,"Least valuable"
168,"Female",33,83000,95,"Artist",0,5,-1.00593159929438,-0.561596696027183,1.61116927190836,0.638327532989931,4,"Valuable - Young, 'Poor'"
169,"Female",36,57000,27,"Artist",0,3,-0.880353270712678,-1.12442048756167,-0.841096042525608,-0.385944063957837,9,"Least valuable"
170,"Male",32,0,63,"Artist",2,2,-1.04779104215495,-2.35830341515652,0.457162065115904,-0.89807986243172,9,"Least valuable"
171,"Male",40,69000,13,"Artist",3,5,-0.712915499270404,-0.864655660699601,-1.34597419549731,0.638327532989931,8,"Less valuable - Young"
172,"Male",28,4000,75,"Executive",0,2,-1.21522881359723,-2.27171513953583,0.889914767663074,-0.89807986243172,4,"Valuable - Young, 'Poor'"
173,"Male",36,79000,10,"Lawyer",0,2,-0.880353270712678,-0.648184971647874,-1.4541623711341,-0.89807986243172,9,"Least valuable"
174,"Male",36,99000,92,"Artist",5,2,-0.880353270712678,-0.215243593544419,1.50298109627157,-0.89807986243172,4,"Valuable - Young, 'Poor'"
175,"Female",52,20000,13,"Lawyer",0,2,-0.21060218494358,-1.92536203705307,-1.34597419549731,-0.89807986243172,9,"Least valuable"
176,"Female",30,28000,86,"Artist",3,4,-1.13150992787609,-1.75218548581168,1.28660474499798,0.126191734516047,4,"Valuable - Young, 'Poor'"
177,"Male",58,29000,15,"Engineer",11,1,0.0405544722198314,-1.73053841690651,-1.27384874507278,-1.4102156609056,9,"Least valuable"
178,"Male",27,45000,69,"Healthcare",2,6,-1.2570882564578,-1.38418531442375,0.673538416389489,1.15046333146381,8,"Less valuable - Young"
179,"Male",59,86000,14,"Healthcare",4,3,0.0824139150804,-0.496655489311665,-1.30991147028504,-0.385944063957837,5,"Less valuable - Old"
180,"Male",35,42000,90,"Engineer",8,1,-0.922212713573247,-1.44912652113927,1.43085564584704,-1.4102156609056,4,"Valuable - Young, 'Poor'"
181,"Female",37,59000,32,"Artist",7,2,-0.83849382785211,-1.08112634975133,-0.660782416464287,-0.89807986243172,9,"Least valuable"
182,"Female",32,61000,86,"Entertainment",7,5,-1.04779104215495,-1.03783221194098,1.28660474499798,0.638327532989931,4,"Valuable - Young, 'Poor'"
183,"Male",46,11000,15,"Artist",7,1,-0.461758842106992,-2.12018565719962,-1.27384874507278,-1.4102156609056,9,"Least valuable"
184,"Female",29,66000,88,"Artist",4,4,-1.17336937073666,-0.929596867415119,1.35873019542251,0.126191734516047,4,"Valuable - Young, 'Poor'"
185,"Female",41,39000,39,"Artist",1,1,-0.671056056409835,-1.51406772785478,-0.408343339978438,-1.4102156609056,9,"Least valuable"
186,"Male",30,72000,97,"Artist",6,2,-1.13150992787609,-0.799714453984083,1.68329472233289,-0.89807986243172,4,"Valuable - Young, 'Poor'"
187,"Female",54,14000,24,"Lawyer",1,2,-0.126883299222443,-2.0552444504841,-0.949284218162401,-0.89807986243172,9,"Least valuable"
188,"Male",28,44000,68,"Doctor",5,3,-1.21522881359723,-1.40583238332892,0.637475691177225,-0.385944063957837,4,"Valuable - Young, 'Poor'"
189,"Female",41,76000,17,"Engineer",8,2,-0.671056056409835,-0.713126178363392,-1.20172329464825,-0.89807986243172,9,"Least valuable"
190,"Female",36,95000,85,"Artist",4,2,-0.880353270712678,-0.30183186916511,1.25054201978572,-0.89807986243172,4,"Valuable - Young, 'Poor'"
191,"Female",34,92000,23,"Artist",5,3,-0.964072156433815,-0.366773075880628,-0.985346943374665,-0.385944063957837,9,"Least valuable"
192,"Female",32,98000,69,"Artist",8,2,-1.04779104215495,-0.236890662449592,0.673538416389489,-0.89807986243172,4,"Valuable - Young, 'Poor'"
